Date,Price_GRAE,Vol_GRAE,MACD_GRAE,RSI_GRAE,CCI_GRAE,ADX_GRAE,Price_SQPH,Vol_SQPH,MACD_SQPH,RSI_SQPH,CCI_SQPH,ADX_SQPH,Price_ACIF,Vol_ACIF,MACD_ACIF,RSI_ACIF,CCI_ACIF,ADX_ACIF
2014-04-21,252.7,562200.0,11.546347787115423,65.46544220573793,41.86504953306947,44.0,160.89,1110000.0,2.2831650972127875,56.74535119216199,24.728708068845872,11.8,76.86,11230.0,-0.6451685005078929,37.79142197092083,-111.20657704100579,30.33
2014-04-22,251.6,500600.0,11.015391365460346,64.20346990314997,32.667242300892156,44.42,159.75,883490.0,2.098994946458305,54.30951776358567,-17.296152488527845,12.22,77.05,8930.0,-0.7500932689474666,38.81441773538612,-100.25869603216155,28.71
2014-04-23,265.2,2020000.0,11.558768626380612,71.51468619669407,81.1739190392015,45.52,160.94,1170000.0,2.0257106979018715,56.412825451316714,35.57012135764713,11.94,78.86,14800.0,-0.679363748278206,47.646775531776235,-16.950698677281174,28.0
2014-04-24,270.3,3260000.0,12.259605299450584,73.68521003759022,150.62328975372444,43.82,159.12,955530.0,1.8000240564641956,52.43702803928498,-61.031201593273174,11.68,82.19,52500.0,-0.350565818998561,59.29011946986418,153.3684280669005,26.74
2014-04-27,265.8,931400.0,12.310008900295117,68.71022323609867,96.9095677956441,42.25,157.52,752550.0,1.4750556159478947,49.157088593134056,-168.12021779281022,11.43,81.43,49660.0,-0.14959233230939617,56.21715729613815,156.3074329071233,25.17
2014-04-28,262.8,583200.0,11.969897659927767,65.5335766356261,61.50504663344772,40.79,155.58,598890.0,1.0488831270425578,45.44530055988915,-211.7205279927149,11.2,79.71,81060.0,-0.12763769365196254,49.91221301344822,85.03893479731921,23.41
2014-04-29,267.9,747200.0,11.973857256108062,68.22319908414084,78.96193771626291,39.66,158.15,737890.0,0.9080484633470007,50.75064558424489,-124.39237628956243,10.48,78.19,18380.0,-0.23023576657104172,45.0985590991921,-36.9992857280753,21.77
2014-04-30,268.9,1050000.0,11.920277369854887,68.7383348649585,96.45952695754326,38.02,160.83,1010000.0,1.0011489580203374,55.599666441635065,8.685286696248907,11.16,81.81,136610.0,-0.0192201739398854,55.98565293774099,146.1474379364144,22.47
2014-05-04,262.9,563400.0,11.26382273111119,62.220804008602464,48.07485810707096,36.5,160.94,612740.0,1.0714567648666957,55.79206257408677,26.5284757118915,11.2,82.95,54070.0,0.2372646370838396,58.75920436466008,101.95890811471678,23.12
2014-05-05,267.9,773200.0,11.020004165359182,65.18340913426582,56.41967489972523,34.88,160.43,708440.0,1.0736471347335907,54.61052208774978,9.820888081756475,11.14,81.14,54910.0,0.2911229404547555,53.0439421684059,56.97424892703861,23.73
2014-05-06,270.3,1820000.0,10.894847121931122,66.5397719526382,94.51226882630299,34.02,159.97,748080.0,1.026432784803319,53.509789629582365,10.873838285529567,11.12,85.71,418210.0,0.6945603810962808,62.865138082923764,159.09262190067076,25.66
2014-05-07,276.4,1650000.0,11.159241493924156,69.76394293491506,126.13812268039332,32.48,159.75,648870.0,0.9601943877376584,52.95999196891261,7.674750965211476,11.1,84.76,102370.0,0.9269451521847145,60.05322947257148,120.37204751048834,26.49
2014-05-08,272.6,889400.0,10.936083335298463,65.52795945596839,109.64111922141083,30.74,159.06,614530.0,0.8423130864727,51.18370765931341,-18.491451558834743,11.08,83.05,46410.0,0.9620392588530393,55.261714281673456,84.76034584067759,27.26
2014-05-11,269.5,668600.0,10.389323144520006,62.20945491642699,53.91714662410644,29.12,157.98,429040.0,0.6542030859206704,48.44483764139645,-72.7404471154871,11.06,82.57,58170.0,0.9402806329224802,53.96022655554755,36.453259104616755,27.97
2014-05-14,267.0,740800.0,9.164166073464344,59.016942228717895,-0.5797101449266485,25.76,155.75,863390.0,0.19755570477258289,42.9676053716736,-125.06773655690024,11.03,80.57,44410.0,0.7529736680717889,48.80279083781474,-48.35024220820777,28.63
2014-05-15,264.5,458200.0,8.266301765835351,56.36440258808488,-85.40683718235162,24.26,152.55,1100000.0,-0.2995540142115374,36.57832093674239,-212.6916002452477,11.01,80.29,20680.0,0.5753061181964938,48.10951863095247,-78.83960778336659,29.07
2014-05-18,262.2,351400.0,7.285168171358691,53.96147066627385,-114.7935466229143,22.86,152.84,328800.0,-0.6624798166724304,37.485564896963886,-171.59866772558965,10.39,78.57,18690.0,0.29234372307260514,43.97678245698143,-117.49336599306022,29.47
2014-05-19,261.4,377600.0,6.369634236411343,53.11329340638098,-112.57814453613489,21.65,151.81,372940.0,-1.0214390087238883,35.540925869124194,-153.9468363170093,9.81,77.9,6090.0,0.013870693011739377,42.447152872428674,-128.73623954205163,29.85
2014-05-20,261.3,271000.0,5.571769937106012,53.001147657026124,-118.79049676025836,20.4,150.67,419690.0,-1.3819746833086697,33.47126416847456,-147.19856014004188,9.28,77.24,5560.0,-0.2571138256172816,40.9366252315408,-125.5828460038983,30.2
2014-05-21,260.4,320000.0,4.811371754606284,51.93824366561353,-108.06697108066989,19.36,149.47,1330000.0,-1.7444231499114835,31.398541581756717,-128.32637446265923,8.79,78.57,13960.0,-0.3603966954762825,45.17094145909285,-75.74805991698265,31.08
2014-05-22,255.3,272600.0,3.7539501386352754,46.274973350007954,-138.15307499518022,18.4,145.59,1370000.0,-2.3180289496725095,25.829080502509314,-150.79300767464673,8.34,79.62,34020.0,-0.3534485542492831,48.32088274712093,-15.976423142546837,32.92
2014-05-25,257.4,198200.0,3.0502272185595984,48.75287105639103,-135.13333333333364,17.51,148.33,501360.0,-2.522443420144299,34.645329494625756,-120.1064322073118,7.92,80.29,4520.0,-0.29052965665833597,50.283616480950066,-20.667543191935938,34.16
2014-05-26,264.1,338400.0,2.9985898627332404,55.763091765576334,-39.584778286401615,17.54,151.98,837920.0,-2.3626833224211055,44.16615687627018,-55.89162378899564,10.12,80.95,14800.0,-0.1852737721451092,52.20912352517938,10.328672510806696,35.57
2014-05-27,266.0,369600.0,3.075528232239833,57.53702022152591,0.6351126568879714,18.42,153.81,604330.0,-2.0646070826389007,48.237660861920354,-7.673185779747844,13.46,80.95,35600.0,-0.1006969535419131,52.20912352517938,17.08264004437038,36.95
2014-05-28,269.8,682200.0,3.40389272991888,60.91298937817108,57.391993658343544,18.06,154.95,464300.0,-1.716603110357795,50.65182547243116,29.006565493488345,16.92,81.81,43050.0,0.035318467911210405,54.85160401876274,29.534071938077794,38.23
2014-05-29,266.3,346800.0,3.3431652824603475,56.46050986248629,56.57116871305101,18.01,154.15,777490.0,-1.4882056607317509,48.92728296489894,34.37690727321231,19.67,84.19,83790.0,0.3313383169937225,61.23901409197763,134.5743834526656,40.19
2014-06-01,275.4,1130000.0,3.983413974252585,63.85768660184872,147.39111686071618,17.06,153.64,477000.0,-1.3329859419565935,47.80975049221488,24.1178406209473,22.22,85.43,156340.0,0.658404143859002,64.08958779988069,190.59956323208283,39.67
2014-06-02,281.7,1730000.0,4.942202391192325,67.92105811521935,241.54509450042548,17.32,158.32,1280000.0,-0.8228509948597491,57.42072950967696,135.19020794213745,20.79,82.29,24880.0,0.6566647871995173,53.38336961357212,138.26227738802027,39.92
2014-06-03,290.7,1450000.0,6.35501722051896,72.65139810924077,228.5993219376249,16.27,156.72,594590.0,-0.5414307258253359,53.77474020872628,140.2469638374376,20.51,80.48,47250.0,0.5034312195922297,48.36760858326907,19.055301604374204,40.15
2014-06-04,295.9,1310000.0,7.804316391979796,74.94981486739415,196.43237486687946,16.64,157.4,561630.0,-0.2605295950909863,55.08018426038561,123.27378922610144,20.47,80.95,36440.0,0.4151321997336197,49.68949309181097,-2.902608614494366,40.37
2014-06-05,285.9,818400.0,8.053148319569004,63.838669773551395,117.33833581301042,16.98,156.89,718110.0,-0.07816512405875642,53.85182535563726,94.71092642855399,20.43,79.43,19740.0,0.21996764343717246,45.62157705818885,-44.43473617785535,40.57
2014-06-08,284.0,738600.0,8.004761387400208,61.95921262270381,62.84946236559152,17.3,155.24,779610.0,-0.06602013821802188,49.969156401267504,35.579334559439054,20.39,78.95,37590.0,0.026263587724159265,44.385817523841666,-92.17795283542927,40.75
2014-06-09,289.3,639000.0,8.29842106860815,65.05021971657186,80.0219840615557,18.29,155.69,580980.0,-0.019855033776167375,51.00663806369335,45.55176336746305,21.01,78.19,28770.0,-0.18642492985982528,42.426271013540614,-117.21776350989875,41.1
2014-06-10,286.3,498400.0,8.194611177034744,61.98025131348753,62.819455894476576,19.32,160.43,1420000.0,0.3946601339064557,60.336655350398374,112.4016938898968,19.71,77.62,8510.0,-0.39640681765514785,40.96552138001799,-144.40993788819813,41.43
2014-06-11,295.1,1310000.0,8.721887060536687,66.91299644625724,80.66268889298946,19.13,161.86,2049999.9999999998,0.8289992523597505,62.64768295436924,173.2789212207244,19.83,79.81,17960.0,-0.38170423039899504,48.32690338212963,-69.5711500974654,42.18
2014-06-12,299.3,1130000.0,9.370642957177381,68.98147882386604,119.06811964662126,20.17,161.86,684760.0,1.1598461485569374,62.64768295436924,144.7907943302006,19.94,80.57,23100.0,-0.3052084229430534,50.627765363963626,-20.789163722025933,43.31
2014-06-15,307.9,1360000.0,10.458179423694446,72.7395214884594,138.89081375742035,20.26,159.75,400170.0,1.2375199715198733,56.96754257101191,87.18232473256062,20.05,78.95,11860.0,-0.37102842082863674,45.93277339138638,-75.35794336947096,44.36
2014-06-16,305.4,754000.0,10.991626177533249,70.0814306574947,141.6940569230395,20.89,161.91,856680.0,1.4565804314307798,60.87802882993123,102.66828497668797,19.78,79.14,51450.0,-0.40321185597171905,46.558732716185446,-42.83097653448148,44.53
2014-06-17,303.7,530400.0,11.148695558147324,68.25490064578017,103.82775119617209,21.48,158.66,728410.0,1.3523505304330286,53.06440955904395,40.93494734770071,19.53,78.0,16379.999999999998,-0.5147719620699007,43.31818649065902,-91.13358648556535,44.69
2014-06-18,303.3,315800.0,11.11279612064385,67.80708969308773,88.69296833064962,22.01,158.66,387860.0,1.255277525030948,53.06440955904395,17.69631138266436,19.38,78.67,3250.0,-0.5428629630064137,45.709811332754185,-65.11211245596638,45.32
2014-06-19,300.1,673600.0,10.702757574216378,64.17939158336634,49.937106918239,22.5,158.49,582930.0,1.1513567655275665,52.65443065311792,-5.651262419106465,19.24,79.81,11130.0,-0.46774493852070975,49.60602418174454,-41.62419948221771,45.82
2014-06-22,296.5,343800.0,9.972354068334823,60.27265979025901,20.849420849420795,22.95,157.23,556940.0,0.9563036717225941,49.59591710604281,-40.130444910318914,19.11,78.76,9870.0,-0.4873220425444913,46.30946966747148,-45.96549805230955,45.96
2014-06-23,304.7,882200.0,9.940586602834117,65.43400698202431,58.081741630724224,22.67,156.83,709180.0,0.7606774167845458,48.63018746660631,-58.97471201064847,18.99,81.52,55860.0,-0.27693576173641077,54.810438679835485,165.89221050405553,47.01
