Date,Price_GRAE,MACD_GRAE,RSI_GRAE,CCI_GRAE,ADX_GRAE,Price_SQPH,MACD_SQPH,RSI_SQPH,CCI_SQPH,ADX_SQPH,Price_ACIF,MACD_ACIF,RSI_ACIF,CCI_ACIF,ADX_ACIF
2020-10-29,329.7,-1.2478986181397431,46.508408676702906,-36.18928496977228,18.18,188.95,-2.5857299940296343,36.9909139718128,-107.82222849946515,28.96,109.62,-1.1096892975742065,52.10829884433172,119.53451882845297,14.67
2020-10-28,330.0,-1.1813782085142748,47.04439782727096,-42.786384234377465,17.65,190.0,-2.5171611691853286,40.02194770265288,-88.39349920897537,28.2,114.76,-0.4448234165460576,60.845179730271255,167.87515260894943,14.78
2020-10-27,332.2,-0.9402995034399737,50.92763220748364,14.4415640527123,17.87,192.1,-2.2672321905273805,45.65286234596479,42.536139994928156,28.66,114.19,0.03568202775285556,59.547825775446285,239.80553851745825,15.08
2020-10-25,332.0,-0.7566589282001814,50.56462065620803,-7.187993680885713,18.13,193.52,-1.9323051310030621,49.130600871129865,148.96473562616964,27.7,113.81,0.38142638408103835,58.649996593040214,162.56010659869168,15.36
2020-10-22,330.0,-0.7637022504117681,46.95984456398361,-44.40356744704613,18.08,195.33,-1.503489854954097,53.238185493651706,152.4737071873628,26.93,111.43,0.45810442526033057,53.23607592249818,83.4916634811874,15.62
2020-10-21,331.3,-0.6568136595471401,49.4809154261152,10.366593833456017,18.75,194.19,-1.2413298540045332,50.47375010080515,102.00989755165767,26.22,113.9,0.709996287434862,57.60945913894502,132.07382030058295,16.77
2020-10-20,331.9,-0.5177207332624221,50.64688551868096,79.97755331088543,20.57,194.19,-1.0217876327021713,50.47375010080515,95.88951310861492,25.69,116.19,1.0819343983985448,61.229635160644825,121.94988749808843,17.97
2020-10-19,335.9,-0.08375652340100714,57.662290148561745,169.9769976997712,20.64,194.38,-0.8229806201979954,50.965902382791434,76.38752424860684,24.99,115.81,1.3306957742430399,60.30923361974259,85.04536142815348,19.08
2020-10-18,335.0,0.18540354442092166,55.74233741200857,169.923031379516,21.32,194.0,-0.6881548341027326,49.897927003226684,63.32733812949648,24.71,113.52,1.3277516011953736,54.94868164071865,61.95451449595921,19.88
2020-10-15,341.1,0.8807807651426742,64.39551101217852,156.44004944375612,21.95,195.14,-0.48373970443716985,53.07475711173461,87.85637232239151,23.63,109.52,0.991225521443539,47.07737031578102,-36.896938611957026,20.62
2020-10-14,334.1,0.8571500319173424,51.86394422411913,31.449651704382653,22.53,196.19,-0.2343120136229686,55.85142607276498,104.29253950753396,23.29,108.57,0.6404859943280741,45.41348665641605,-45.09837862789223,20.37
2020-10-13,333.2,0.7570729613628941,50.50313492234261,11.267728182373668,23.26,196.29,-0.028244027787081905,56.11774491749388,97.79500065594867,22.53,110.67,0.5259124503563868,49.649838311973326,-52.054794520547794,20.14
2020-10-12,330.8,0.47858439655391294,46.96435537185076,-87.23143032535253,23.94,195.71,0.08725931185969671,54.080068910618095,43.58692036839566,21.83,109.9,0.3687290475254912,48.17354923441196,-32.21885101235402,20.97
2020-10-11,329.0,0.11135165322440344,44.44876010289234,-108.88888888888863,24.52,193.9,0.032371508883670685,48.198373038706464,-26.518035164040345,21.18,115.52,0.6896967057346188,57.99150304886789,76.80652680652663,22.75
2020-10-08,328.3,-0.2334757286232616,43.47352905697012,-105.0460223537145,25.32,192.86,-0.09396362460333307,45.15922892901885,-56.305155713156324,20.8,118.57,1.1766121450069136,62.17896725207831,155.99216080204064,22.56
2020-10-07,326.9,-0.6126598513970976,41.51182119082383,-121.71331636980412,25.85,192.86,-0.1918733317558008,45.15922892901885,-76.5783727333127,19.44,116.86,1.408279658453779,58.64911611592972,103.64173419615595,22.39
2020-10-06,326.6,-0.9266911743521291,41.084002176197245,-93.7879429620215,26.67,191.81,-0.3501573093623449,42.05428011654572,-188.23422934201992,18.18,117.14,1.5960729563571192,59.0589599085476,99.95442031759896,21.82
2020-10-05,328.8,-0.9866679524581627,45.518301864397344,-44.252873563218024,26.17,191.71,-0.47815578401863945,41.75979613180295,-135.48038307074495,17.08,118.76,1.8542463611947113,61.44023520901926,74.85680968549539,21.18
2020-10-04,330.1,-0.9187105227412076,48.00847593689022,-29.96632996632913,25.99,192.86,-0.4812525287320568,46.40749575923989,-32.60477869173648,17.18,121.62,2.2635361073074165,65.27969377035478,160.29178560101508,22.54
2020-10-01,331.0,-0.7832030148690592,49.72181189774076,-28.086419753088123,25.83,194.1,-0.37927701500342437,50.9525601228871,-39.70822885799049,17.27,121.24,2.5280960382241204,64.36268808264937,123.37323284567283,23.8
2020-09-30,330.0,-0.7478828532612738,47.83554609131303,-22.696370672523134,24.6,194.29,-0.27990272914760794,51.629473967024026,32.622181873204056,16.14,120.95,2.683428222979657,63.628103207007854,100.74191838897724,24.76
2020-09-29,331.9,-0.5601205288875235,51.5930701427541,13.323315802654692,23.99,196.29,-0.03931144844406731,58.17329983289615,96.42140984112346,15.6,120.19,2.713920068893785,61.64251831761736,76.69976039665028,25.65
2020-09-28,330.9,-0.48640223453332965,49.569256177855884,21.39721825585499,23.46,196.1,0.13447729226032834,57.379130387240686,96.12487193394863,14.74,120.67,2.7451724260185983,62.4397423345126,66.50258429731723,26.44
2020-09-27,330.6,-0.44703431463148036,48.94891836596539,79.23429047024905,24.0,196.19,0.27628354446736125,57.67389232242201,93.84101082214231,13.69,120.1,2.6929037892814165,60.82308842224297,66.58061393247517,26.72
2020-09-24,335.2,-0.04414452764700627,57.69191782175476,174.15865384615327,23.51,196.29,0.39221398657298323,58.02128479911417,97.87472035794197,12.91,122.38,2.8031445577718728,64.75413999859508,108.48271874026935,25.67
2020-09-23,336.6,0.38369384708602183,59.940535056328535,130.39215686274576,23.06,195.71,0.4323051992018918,55.1918499106686,85.26285876669603,12.11,121.05,2.751473996813985,60.91441517190378,83.99205102955138,24.56
2020-09-22,329.5,0.14814050709526327,46.455686475499114,-24.89510489510543,22.64,195.81,0.46676634642739145,55.593928921159495,102.28254164096143,12.46,124.86,2.9835671584929884,66.95873276119436,156.08179221169667,24.5
